,type,de,para,zmed,prec,i_de,i_para
1171,0,1037,-1,0.0,0.0,591,-9
1189,0,1231,-1,0.0,0.0,637,-9
1196,0,1313,-1,0.0,0.0,618,-9
1190,0,1270,-1,0.0,0.0,640,-9
1671,0,9263,-1,0.0,0.0,1026,-9
1672,0,9302,-1,0.0,0.0,649,-9
1189,0,1263,-1,0.0,0.0,642,-9
1154,0,961,-1,0.0,0.0,676,-9
1193,0,1330,-1,0.0,0.0,586,-9
1687,0,9693,-1,0.0,0.0,1025,-9
1191,0,1315,-1,0.0,0.0,1150,-9
1736,0,41450,-1,0.0,0.0,612,-9
1689,0,9806,-1,0.0,0.0,584,-9
1041,0,82,-1,0.0,0.0,1118,-9
1737,0,41822,-1,0.0,0.0,1457,-9
1737,0,41824,-1,0.0,0.0,1459,-9
1738,0,41825,-1,0.0,0.0,1460,-9
1243,0,4508,-1,0.0,0.0,1180,-9
1768,0,43800,-1,0.0,0.0,1474,-9
1787,0,44096,-1,0.0,0.0,1487,-9
1680,0,9601,-1,0.0,0.0,984,-9
1675,0,9509,-1,0.0,0.0,1422,-9
1059,0,117,-1,0.0,0.0,1129,-9
1335,0,5631,-1,0.0,0.0,142,-9
1819,0,44668,-1,0.0,0.0,1529,-9
1611,0,8392,-1,0.0,0.0,1372,-9
1612,0,8393,-1,0.0,0.0,1373,-9
1388,0,6262,-1,0.0,0.0,831,-9
1820,0,44714,-1,0.0,0.0,1535,-9
1590,0,8270,-1,0.0,0.0,14,-9
1591,0,8280,-1,0.0,0.0,799,-9
1820,0,44781,-1,0.0,0.0,1536,-9
1307,0,5378,-1,0.0,0.0,827,-9
1843,0,45028,-1,0.0,0.0,1564,-9
1844,0,45029,-1,0.0,0.0,1565,-9
1345,0,5740,-1,0.0,0.0,91,-9
1840,0,45025,-1,0.0,0.0,1562,-9
1364,0,6061,-1,0.0,0.0,67,-9
1870,0,45480,-1,0.0,0.0,1600,-9
1393,0,6334,-1,0.0,0.0,29,-9
1830,0,44963,-1,0.0,0.0,1552,-9
1394,0,6358,-1,0.0,0.0,24,-9
1503,0,7289,-1,0.0,0.0,1276,-9
1317,0,5488,-1,0.0,0.0,840,-9
1871,0,45554,-1,0.0,0.0,1607,-9
1448,0,6766,-1,0.0,0.0,158,-9
1297,0,5202,-1,0.0,0.0,362,-9
1869,0,45557,-1,0.0,0.0,1608,-9
1835,0,45085,-1,0.0,0.0,1570,-9
1836,0,45086,-1,0.0,0.0,1571,-9
1302,0,5350,-1,0.0,0.0,512,-9
1643,0,8998,-1,0.0,0.0,1403,-9
1644,0,8999,-1,0.0,0.0,1404,-9
1868,0,45587,-1,0.0,0.0,1611,-9
1614,0,8500,-1,0.0,0.0,797,-9
1628,0,8700,-1,0.0,0.0,10,-9
1631,0,8752,-1,0.0,0.0,1630,-9
1615,0,8511,-1,0.0,0.0,12,-9
1616,0,8521,-1,0.0,0.0,796,-9
1381,0,6225,-1,0.0,0.0,802,-9
1380,0,6221,-1,0.0,0.0,75,-9
1381,0,6280,-1,0.0,0.0,57,-9
1382,0,6281,-1,0.0,0.0,17,-9
1484,0,7212,-1,0.0,0.0,69,-9
1381,0,6291,-1,0.0,0.0,86,-9
1419,0,6620,-1,0.0,0.0,66,-9
1304,0,5370,-1,0.0,0.0,149,-9
1711,0,42326,-1,0.0,0.0,1637,-9
1238,0,4471,-1,0.0,0.0,322,-9
1504,0,7552,-1,0.0,0.0,1649,-9
1536,0,8100,-1,0.0,0.0,359,-9
1541,0,8106,-1,0.0,0.0,932,-9
1738,0,43970,-1,0.0,0.0,1651,-9
1569,0,8300,-1,0.0,0.0,349,-9
1575,0,8311,-1,0.0,0.0,343,-9
1576,0,8313,-1,0.0,0.0,1654,-9
1574,0,8321,-1,0.0,0.0,344,-9
1575,0,8331,-1,0.0,0.0,938,-9
1582,0,8400,-1,0.0,0.0,11,-9
1572,0,8304,-1,0.0,0.0,1361,-9
1583,0,8402,-1,0.0,0.0,1375,-9
1571,0,8303,-1,0.0,0.0,1360,-9
1581,0,8401,-1,0.0,0.0,1374,-9
1559,0,8204,-1,0.0,0.0,1353,-9
1570,0,8302,-1,0.0,0.0,1359,-9
1555,0,8200,-1,0.0,0.0,342,-9
1557,0,8203,-1,0.0,0.0,1352,-9
1567,0,8301,-1,0.0,0.0,1358,-9
1539,0,8104,-1,0.0,0.0,1348,-9
1556,0,8202,-1,0.0,0.0,1351,-9
1538,0,8103,-1,0.0,0.0,1347,-9
1554,0,8201,-1,0.0,0.0,1350,-9
1559,0,8249,-1,0.0,0.0,1631,-9
1560,0,8250,-1,0.0,0.0,341,-9
1052,0,107,-1,0.0,0.0,495,-9
1052,0,108,-1,0.0,0.0,991,-9
1689,0,42433,-1,0.0,0.0,1639,-9
1051,0,106,-1,0.0,0.0,490,-9
1620,0,9608,-1,0.0,0.0,500,-9
1621,0,9785,-1,0.0,0.0,602,-9
1622,0,9786,-1,0.0,0.0,605,-9
1661,0,41223,-1,0.0,0.0,1664,-9
1140,0,943,-1,0.0,0.0,672,-9
1685,0,43051,-1,0.0,0.0,1666,-9
1684,0,43065,-1,0.0,0.0,1668,-9
1100,0,535,-1,0.0,0.0,907,-9
1754,0,44773,-1,0.0,0.0,1671,-9
1507,0,7738,-1,0.0,0.0,758,-9
1655,0,21901,-1,0.0,0.0,1672,-9
1662,0,41590,-1,0.0,0.0,1676,-9
1172,0,1086,-1,0.0,0.0,300,-9
1680,0,43096,-1,0.0,0.0,1680,-9
1185,0,1889,-1,0.0,0.0,302,-9
1152,0,978,-1,0.0,0.0,458,-9
1647,0,10258,-1,0.0,0.0,1439,-9
1135,0,898,-1,0.0,0.0,450,-9
1619,0,9890,-1,0.0,0.0,977,-9
1126,0,839,-1,0.0,0.0,439,-9
1127,0,843,-1,0.0,0.0,449,-9
1185,0,2458,-1,0.0,0.0,446,-9
1628,0,10005,-1,0.0,0.0,972,-9
1606,0,9538,-1,0.0,0.0,445,-9
1609,0,9725,-1,0.0,0.0,974,-9
1169,0,1088,-1,0.0,0.0,304,-9
1101,0,545,-1,0.0,0.0,755,-9
1154,0,1025,-1,0.0,0.0,299,-9
1168,0,1087,-1,0.0,0.0,917,-9
1630,0,10101,-1,0.0,0.0,301,-9
1152,0,1018,-1,0.0,0.0,914,-9
1163,0,1078,-1,0.0,0.0,297,-9
1074,0,380,-1,0.0,0.0,287,-9
1647,0,42066,-1,0.0,0.0,1687,-9
1209,0,4333,-1,0.0,0.0,274,-9
1731,0,44798,-1,0.0,0.0,1540,-9
1070,0,350,-1,0.0,0.0,266,-9
1172,0,1475,-1,0.0,0.0,279,-9
1209,0,4337,-1,0.0,0.0,234,-9
1065,0,313,-1,0.0,0.0,232,-9
1207,0,4338,-1,0.0,0.0,887,-9
1069,0,372,-1,0.0,0.0,286,-9
1073,0,385,-1,0.0,0.0,268,-9
1578,0,9015,-1,0.0,0.0,906,-9
1653,0,43511,-1,0.0,0.0,1688,-9
1252,0,4975,-1,0.0,0.0,1196,-9
1691,0,44464,-1,0.0,0.0,1692,-9
1313,0,5752,-1,0.0,0.0,43,-9
1643,0,42352,-1,0.0,0.0,1697,-9
1458,0,7280,-1,0.0,0.0,80,-9
1459,0,7284,-1,0.0,0.0,823,-9
1515,0,8165,-1,0.0,0.0,143,-9
1720,0,44888,-1,0.0,0.0,1698,-9
1312,0,5750,-1,0.0,0.0,41,-9
1662,0,43982,-1,0.0,0.0,1703,-9
1447,0,7230,-1,0.0,0.0,1705,-9
1540,0,8433,-1,0.0,0.0,1706,-9
1539,0,8432,-1,0.0,0.0,1695,-9
1539,0,8436,-1,0.0,0.0,1709,-9
1515,0,8188,-1,0.0,0.0,419,-9
1528,0,8367,-1,0.0,0.0,1708,-9
1526,0,8366,-1,0.0,0.0,1694,-9
1436,0,7181,-1,0.0,0.0,404,-9
1439,0,7190,-1,0.0,0.0,410,-9
1440,0,7191,-1,0.0,0.0,957,-9
1533,0,8437,-1,0.0,0.0,1711,-9
1256,0,5090,-1,0.0,0.0,386,-9
1624,0,42302,-1,0.0,0.0,1714,-9
1273,0,5360,-1,0.0,0.0,793,-9
1623,0,42322,-1,0.0,0.0,1713,-9
1269,0,5300,-1,0.0,0.0,3,-9
1306,0,5720,-1,0.0,0.0,794,-9
1621,0,42346,-1,0.0,0.0,1716,-9
1318,0,5958,-1,0.0,0.0,946,-9
1617,0,42182,-1,0.0,0.0,1725,-9
1715,0,45125,-1,0.0,0.0,1576,-9
1731,0,45333,-1,0.0,0.0,1593,-9
1316,0,5925,-1,0.0,0.0,1223,-9
1531,0,8541,-1,0.0,0.0,1393,-9
1346,0,6316,-1,0.0,0.0,810,-9
1350,0,6369,-1,0.0,0.0,815,-9
1495,0,8136,-1,0.0,0.0,59,-9
1429,0,7186,-1,0.0,0.0,83,-9
1393,0,6716,-1,0.0,0.0,54,-9
1351,0,6380,-1,0.0,0.0,88,-9
1339,0,6204,-1,0.0,0.0,51,-9
1350,0,6371,-1,0.0,0.0,19,-9
1378,0,6621,-1,0.0,0.0,47,-9
1308,0,5804,-1,0.0,0.0,1215,-9
1471,0,7907,-1,0.0,0.0,113,-9
1062,0,226,-1,0.0,0.0,864,-9
1201,0,4331,-1,0.0,0.0,898,-9
1199,0,4076,-1,0.0,0.0,895,-9
1068,0,373,-1,0.0,0.0,285,-9
1205,0,4360,-1,0.0,0.0,1174,-9
1444,0,7442,-1,0.0,0.0,251,-9
1061,0,213,-1,0.0,0.0,293,-9
1155,0,1085,-1,0.0,0.0,915,-9
1167,0,2459,-1,0.0,0.0,971,-9
1536,0,9399,-1,0.0,0.0,976,-9
1521,0,8747,-1,0.0,0.0,513,-9
1400,0,7055,-1,0.0,0.0,1021,-9
1160,0,1254,-1,0.0,0.0,1045,-9
1549,0,9920,-1,0.0,0.0,1048,-9
1161,0,1286,-1,0.0,0.0,655,-9
1150,0,1056,-1,0.0,0.0,1061,-9
1089,0,498,-1,0.0,0.0,1105,-9
1335,0,6362,-1,0.0,0.0,805,-9
1294,0,5726,-1,0.0,0.0,804,-9
1503,0,8509,-1,0.0,0.0,807,-9
1363,0,6649,-1,0.0,0.0,839,-9
1300,0,5923,-1,0.0,0.0,838,-9
1291,0,5689,-1,0.0,0.0,879,-9
1072,0,394,-1,0.0,0.0,891,-9
1249,0,5155,-1,0.0,0.0,951,-9
1243,0,5092,-1,0.0,0.0,375,-9
1245,0,5098,-1,0.0,0.0,379,-9
1305,0,6067,-1,0.0,0.0,380,-9
1158,0,1299,-1,0.0,0.0,1031,-9
1530,0,9787,-1,0.0,0.0,1032,-9
1555,0,10256,-1,0.0,0.0,1038,-9
1077,0,421,-1,0.0,0.0,1088,-9
1105,0,594,-1,0.0,0.0,1095,-9
1058,0,127,-1,0.0,0.0,1131,-9
1079,0,442,-1,0.0,0.0,1094,-9
1081,0,489,-1,0.0,0.0,1101,-9
1523,0,9544,-1,0.0,0.0,1103,-9
1390,0,7106,-1,0.0,0.0,1107,-9
1051,0,109,-1,0.0,0.0,1124,-9
1073,0,416,-1,0.0,0.0,1135,-9
1153,0,2082,-1,0.0,0.0,1154,-9
1170,0,3471,-1,0.0,0.0,1171,-9
1073,0,420,-1,0.0,0.0,1136,-9
1189,0,4505,-1,0.0,0.0,1178,-9
1189,0,4510,-1,0.0,0.0,1181,-9
1189,0,4511,-1,0.0,0.0,1182,-9
1194,0,4524,-1,0.0,0.0,1184,-9
1170,0,3501,-1,0.0,0.0,1173,-9
1189,0,4512,-1,0.0,0.0,1183,-9
1217,0,4868,-1,0.0,0.0,316,-9
1219,0,4894,-1,0.0,0.0,923,-9
1195,0,4542,-1,0.0,0.0,318,-9
1195,0,4552,-1,0.0,0.0,319,-9
1196,0,4562,-1,0.0,0.0,925,-9
1189,0,4515,-1,0.0,0.0,308,-9
1193,0,4532,-1,0.0,0.0,311,-9
1194,0,4540,-1,0.0,0.0,1185,-9
1190,0,4518,-1,0.0,0.0,324,-9
1185,0,4448,-1,0.0,0.0,924,-9
1206,0,4711,-1,0.0,0.0,922,-9
